size_sq_meters,bedrooms,bathrooms,price,property_type,district,amenities,price_per_sqm,amenity_count
74.9,3,2,2453.27,House,Dublin 3,Gym;Pool,32.75,2
144.1,3,2,2788.43,Apartment,Dublin 6,Parking;Garden,19.35,2
117.8,3,1,4389.1,Apartment,Dublin 3,Gym;Parking,37.26,2
101.8,3,2,2228.02,Apartment,Dublin 1,Gym;Parking,21.89,2
48.7,4,1,4452.53,Apartment,Dublin 1,None,91.43,0
48.7,3,2,1170.16,House,Dublin 1,None,24.03,0
37.0,1,1,4062.55,House,Dublin 8,Gym;Parking,109.8,2
133.9,3,2,4359.7,House,Dublin 2,Parking;Garden,32.56,2
102.1,4,1,1563.63,House,Dublin 1,Parking;Garden,15.31,2
115.0,3,2,2607.46,Apartment,Dublin 2,Gym;Parking,22.67,2
32.5,1,1,1495.1,Studio,Dublin 1,Gym;Pool,46.0,2
146.4,4,2,3767.74,House,Dublin 8,Gym;Parking,25.74,2
129.9,4,2,3048.46,House,Dublin 3,Gym;Pool,23.47,2
55.5,1,1,3468.36,Apartment,Dublin 6,Gym;Parking,62.49,2
51.8,1,2,1625.25,Apartment,Dublin 6,Gym;Pool,31.38,2
52.0,1,1,1689.33,Apartment,Dublin 1,Parking;Garden,32.49,2
66.5,1,1,974.29,Apartment,Dublin 6,Gym;Parking,14.65,2
93.0,1,2,2152.68,Studio,Dublin 1,None,23.15,0
81.8,4,1,3150.93,Studio,Dublin 1,Gym;Pool,38.52,2
64.9,4,2,4403.33,House,Dublin 4,Parking;Garden,67.85,2
103.4,3,2,3601.1,Studio,Dublin 4,None,34.83,0
46.7,3,1,2628.66,House,Dublin 4,Parking;Garden,56.29,2
65.1,2,2,4803.1,House,Dublin 2,Gym;Pool,73.78,2
74.0,3,1,3820.83,Studio,Dublin 4,Gym;Parking,51.63,2
84.7,3,1,4706.69,House,Dublin 1,Parking;Garden,55.57,2
124.2,1,2,3015.87,Apartment,Dublin 8,Gym;Parking,24.28,2
54.0,1,2,1887.4,House,Dublin 8,Gym;Parking,34.95,2
91.7,3,1,1021.87,Apartment,Dublin 3,Parking;Garden,11.14,2
101.1,2,1,3849.56,Studio,Dublin 4,Parking;Garden,38.08,2
35.6,1,2,1309.47,Studio,Dublin 8,Parking;Garden,36.78,2
102.9,3,2,2071.66,House,Dublin 4,Gym;Parking,20.13,2
